Date,Adj Close,Close,High,Low,Open,Volume,daily_return,ma_7,ma_30,ma_90,volatility_30,target_30d_return,ticker
,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,,,,,,,
2022-05-11,105.37200164794922,105.37200164794922,110.15599822998047,104.42849731445312,108.10350036621094,109704000,-0.03203225709010704,114.91164289202008,142.8117998758952,150.38906665378147,0.03578482371535757,0.10522716910673058,AMZN
2022-05-12,106.93049621582031,106.93049621582031,110.78050231933594,102.40550231933594,102.75,132026000,0.014790404884573283,112.43692779541016,140.83278325398763,149.6837999979655,0.036190349305805926,0.058818627308981686,AMZN
2022-05-13,113.05500030517578,113.05500030517578,113.18399810791016,107.80000305175781,109.06900024414062,93684000,0.05727556035084924,110.59785679408482,139.16803334554035,149.07861107720268,0.03842678294027869,-0.05001989088525072,AMZN
2022-05-16,110.81050109863281,110.81050109863281,113.99250030517578,110.35399627685547,113.0999984741211,74566000,-0.01985316173972196,109.79835728236607,137.409716796875,148.48365003797744,0.03835218321638389,-0.01706068387873061,AMZN
2022-05-17,115.36849975585938,115.36849975585938,115.80000305175781,111.27649688720703,113.2750015258789,76448000,0.04113327357999652,109.88350023542132,135.64378356933594,147.95158894856772,0.03885212431621524,-0.0793847600581421,AMZN
2022-05-18,107.11250305175781,107.11250305175781,112.85299682617188,106.2490005493164,111.43949890136719,108380000,-0.07156196640827217,109.64400046212333,133.74570058186848,147.3355723063151,0.040297304718478075,0.0228497555103655,AMZN
2022-05-19,107.31900024414062,107.31900024414062,110.03399658203125,106.19300079345703,106.28050231933594,88142000,0.0019278532990965047,109.4240003313337,132.03113403320313,146.7337168375651,0.04022509323734661,0.0575946453265328,AMZN
2022-05-20,107.59100341796875,107.59100341796875,109.89800262451172,105.0094985961914,109.56849670410156,99500000,0.0025345295167615856,109.74100058419364,130.35801747639974,146.09181688096788,0.04030080800775874,0.06263533380115738,AMZN
2022-05-23,107.55699920654297,107.55699920654297,108.81900024414062,103.94999694824219,108.46099853515625,107798000,-0.0003160506951839226,109.83050101143974,128.7945676167806,145.45126130845813,0.040315483470782086,0.08156607835130125,AMZN
2022-05-24,104.0999984741211,104.0999984741211,105.4000015258789,101.26000213623047,104.0250015258789,102934000,-0.03214110432537598,108.55121503557477,127.22716776529948,144.81666124131945,0.04045507414218248,0.10989435743603959,AMZN
2022-05-25,106.7750015258789,106.7750015258789,108.17500305175781,103.6500015258789,103.65550231933594,93120000,0.025696475417555487,107.97471509660993,125.76008427937826,144.20151680840385,0.04099387731663162,0.046593288719507076,AMZN
2022-05-26,111.07749938964844,111.07749938964844,112.66549682617188,107.45349884033203,107.97000122070312,93002000,0.04029499229486544,107.36171504429409,124.27796758015951,143.66996129353842,0.04133445665236302,-0.016722542181377364,AMZN
2022-05-27,115.14649963378906,115.14649963378906,115.18699645996094,112.62799835205078,113.55000305175781,93660000,0.036632083603781895,108.50942884172711,123.05930099487304,143.21271133422852,0.04210785317998693,-0.041221384262707716,AMZN
2022-05-31,120.20950317382812,120.20950317382812,121.99449920654297,115.67500305175781,116.27999877929688,144634000,0.04397010379074828,110.3509292602539,121.973450978597,142.86317808363174,0.04309787433470987,-0.07969008828326807,AMZN
2022-06-01,121.68399810791016,121.68399810791016,125.17900085449219,120.62249755859375,122.25599670410156,127528000,0.012266042992872705,112.36421421595982,120.75906778971354,142.6303002251519,0.042533359239028144,-0.06684523176941526,AMZN
2022-06-02,125.51100158691406,125.51100158691406,125.61000061035156,120.04499816894531,121.68399810791016,100560000,0.03145034300738625,114.92907169886998,119.80950113932292,142.418822394477,0.04297523034044487,-0.09362525437697378,AMZN
2022-06-03,122.3499984741211,122.3499984741211,124.4000015258789,121.04650115966797,124.19999694824219,97604000,-0.025185068024527135,117.53621455601284,118.94463424682617,142.22286690606012,0.0427328664421888,-0.033837347292849485,AMZN
2022-06-06,124.79000091552734,124.79000091552734,128.99000549316406,123.80999755859375,125.25,135269000,0.01994280728922404,120.10978589739118,118.29263407389323,142.06639472113716,0.042784037193328774,-0.0161872286051854,AMZN
2022-06-07,123.0,123.0,124.0999984741211,120.62999725341797,122.01000213623047,85156700,-0.014344105316090427,121.81300027029855,117.52350056966146,141.88153364393446,0.04271707897679739,0.013252010190389907,AMZN
2022-06-08,121.18000030517578,121.18000030517578,123.75,120.75,122.61000061035156,64926600,-0.014796745486375773,122.6749289376395,116.9164670308431,141.62822257147894,0.042062567871643475,0.010232694014249644,AMZN
2022-06-09,116.1500015258789,116.1500015258789,121.30000305175781,116.0999984741211,119.98999786376953,67029800,-0.04150848957443054,122.09500013078961,116.1825668334961,141.25685034857855,0.04261789226455728,0.042961668516704465,AMZN
2022-06-10,109.6500015258789,109.6500015258789,114.5,109.05000305175781,113.41999816894531,87266000,-0.05596211721574329,120.37585776192802,115.01768366495769,140.79525595770943,0.04246420089400752,0.047058786693195076,AMZN
2022-06-13,103.66999816894531,103.66999816894531,106.54000091552734,101.86000061035156,104.19000244140625,99277700,-0.05453719355874542,117.2557144165039,114.33063354492188,140.2736725701226,0.035576284470621104,0.1668756955466031,AMZN
2022-06-14,102.30999755859375,102.30999755859375,104.87999725341797,101.43000030517578,104.19000244140625,69728800,-0.013118555361940287,114.39285714285714,113.590966796875,139.86772249009874,0.035576650622155516,0.19519110250458316,AMZN
2022-06-15,107.66999816894531,107.66999816894531,109.05999755859375,103.52999877929688,103.86000061035156,85011100,0.052389802934770247,111.94714246477399,113.03818333943686,139.31250584920247,0.03713412089702217,0.25336676180203654,AMZN
2022-06-16,103.66000366210938,103.66000366210938,104.58000183105469,102.01000213623047,104.47000122070312,82186300,-0.037243378610853584,109.18428584507534,112.29590021769205,138.70944476657445,0.03745984518205575,0.3060968030733078,AMZN
2022-06-17,106.22000122070312,106.22000122070312,106.9800033569336,102.51000213623047,102.80000305175781,99772100,0.02469609751257895,107.0471431187221,111.95633366902669,138.09618369208442,0.03543393306935375,0.2630389956723189,AMZN
2022-06-21,108.68000030517578,108.68000030517578,111.62999725341797,103.55999755859375,108.19999694824219,70901200,0.023159471438541024,105.98000008719308,111.75325037638346,137.5127448187934,0.03566403987367971,0.2837688984236819,AMZN
2022-06-22,108.94999694824219,108.94999694824219,112.12999725341797,107.0199966430664,107.43000030517578,60040100,0.0024843268523027096,105.87999943324498,111.75861689249675,136.95659484863282,0.03434382245678817,0.30858202219085973,AMZN
2022-06-23,112.44000244140625,112.44000244140625,113.0,107.93000030517578,110.38999938964844,64345300,0.0320330939965241,107.13285718645368,111.87798360188802,136.50266706678602,0.03481933737595294,0.2522234079915666,AMZN
2022-06-24,116.45999908447266,116.45999908447266,116.70999908447266,111.43000030517578,112.37999725341797,69867600,0.03575237064906034,109.15428597586495,112.24758351643881,136.0725891960992,0.0347562509175972,0.19706341025290786,AMZN
2022-06-27,113.22000122070312,113.22000122070312,117.9800033569336,112.69999694824219,117.08999633789062,62133200,-0.027820692849391482,109.9471435546875,112.45723368326823,135.59158367580838,0.035165342523698115,0.21736442629406572,AMZN
2022-06-28,107.4000015258789,107.4000015258789,114.8499984741211,107.04000091552734,113.5,74942900,-0.05140434227234392,110.48142896379743,112.26873372395833,135.0282448662652,0.03492596070309549,0.32858473383749365,AMZN
2022-06-29,108.91999816894531,108.91999816894531,110.98999786376953,106.91000366210938,107.37999725341797,66375300,0.014152668728781626,110.86714281354632,112.20571695963541,134.52010599772134,0.034848563386099526,0.2912229320046662,AMZN
2022-06-30,106.20999908447266,106.20999908447266,108.18000030517578,102.5199966430664,108.11000061035156,97679400,-0.024880638358707907,110.51428549630302,111.90043360392252,134.00464486016168,0.03424185014404767,0.3515676893809905,AMZN
2022-07-01,109.55999755859375,109.55999755859375,109.75,105.8499984741211,106.29000091552734,73021200,0.03154127203651247,110.60142844063895,111.9820167541504,133.55311711629233,0.03214825894123446,0.30686378118260915,AMZN
2022-07-05,113.5,113.5,114.08000183105469,106.31999969482422,107.5999984741211,76583700,0.035962053023039786,110.7528566632952,112.1880500793457,133.20503938463,0.03276735442831218,0.27559470290129395,AMZN
2022-07-06,114.33000183105469,114.33000183105469,115.4800033569336,112.01000213623047,113.20999908447266,66958900,0.007312791463036872,110.44857134137835,112.4126833597819,132.7936171637641,0.032779691926504304,0.24289341229519645,AMZN
2022-07-07,116.33000183105469,116.33000183105469,116.98999786376953,113.48999786376953,113.8499984741211,57872300,0.01749322109655349,110.89285714285714,112.70511678059896,132.37741165161134,0.03288709887412863,0.2232442260116112,AMZN
