Date,Adj Close,Close,High,Low,Open,Volume,daily_return,ma_7,ma_30,ma_90,volatility_30,target_30d_return,ticker
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,,,,,
2022-05-11,112.67127990722656,113.60250091552734,116.364501953125,113.23650360107422,113.23650360107422,37534000,-0.006927744891037757,115.09949275425502,124.6818239847819,131.26664454142252,0.024729638054357593,0.03848937402026675,GOOGL
2022-05-12,111.91900634765625,112.84400177001953,114.29499816894531,109.82450103759766,111.37750244140625,53836000,-0.006676710872457803,114.46332550048828,123.71995722452799,130.91237835354275,0.024722307917668794,0.026492203387612046,GOOGL
2022-05-13,115.09922790527344,116.05049896240234,117.875,113.6050033569336,114.53299713134766,35038000,0.02841538413715372,113.58338601248605,122.95901311238607,130.59997177124023,0.025431594050466626,-0.034838395613075335,GOOGL
2022-05-16,113.5068588256836,114.44499969482422,116.16999816894531,113.8895034790039,114.95549774169922,25990000,-0.013834750315617761,113.29143960135323,122.10918731689453,130.34287448459202,0.025342430925291995,-0.0239721927725971,GOOGL
2022-05-17,115.51824188232422,116.4729995727539,116.9000015258789,114.87000274658203,116.84049987792969,23054000,0.017720365777451175,113.39437430245536,121.2331443786621,130.10842887030708,0.025259115770785757,-0.0644784791595544,GOOGL
2022-05-18,110.98223114013672,111.89949798583984,115.4000015258789,111.55549621582031,115.0,35126000,-0.03926661857274649,113.30773271833148,120.28460083007812,129.83163333468968,0.025901819728295954,-0.028257408589172694,GOOGL
2022-05-19,109.47915649414062,110.38400268554688,113.01000213623047,110.0,111.43150329589844,34144000,-0.013543381048973235,112.7394289289202,119.41961669921875,129.5199262830946,0.025613631500047356,0.026081608111471866,GOOGL
2022-05-20,108.01525115966797,108.90799713134766,112.18350219726562,105.79650115966797,111.95099639892578,48962000,-0.013371543783779583,112.07428196498326,118.52763900756835,129.18020061916775,0.025639046709422058,0.0520072539646943,GOOGL
2022-05-23,110.57410430908203,111.48799896240234,112.14749908447266,108.74099731445312,109.5875015258789,37184000,0.02368973938348362,111.8821531023298,117.80694478352865,128.85023362901475,0.026129325537253306,0.06543303262385192,GOOGL
2022-05-24,105.1013412475586,105.97000122070312,106.45850372314453,101.8844985961914,105.77200317382812,76780000,-0.04949407545030349,110.45388357979911,117.05140558878581,128.49079293145073,0.026871077943700587,0.12629521111702569,GOOGL
2022-05-25,104.93768310546875,105.80500030517578,106.5,103.85649871826172,104.9854965209961,40258000,-0.0015571460853611718,109.22971561976841,116.32707544962565,128.11968782213,0.026879556132608454,0.09329907130755033,GOOGL
2022-05-26,106.9089126586914,107.7925033569336,108.64949798583984,105.2249984741211,105.677001953125,37948000,0.01878476344137936,107.99981144496373,115.59639841715494,127.8088624742296,0.026931997662050632,0.05777753355601134,GOOGL
