Date,Adj Close,Close,High,Low,Open,Volume,daily_return,ma_7,ma_30,ma_90,volatility_30,target_30d_return,ticker
,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,,,
2022-05-11,244.6666717529297,244.6666717529297,269.92333984375,242.39999389648438,265.0,97224600,-0.08254582843646041,281.99761744907926,321.6025578816732,313.7242582533095,0.04329980874490551,0.004250653669671145,TSLA
2022-05-12,242.6666717529297,242.6666717529297,253.22000122070312,226.6666717529297,233.6666717529297,140313000,-0.008174386751047313,273.36666434151783,317.53600260416664,311.9769249810113,0.04328531593491552,0.009285685585657344,TSLA
2022-05-13,256.5299987792969,256.5299987792969,262.45001220703125,250.52333068847656,257.82666015625,92150700,0.05712909369145702,264.6509486607143,314.11366882324216,310.56951768663197,0.04510919895513111,-0.09303656030383145,TSLA
2022-05-16,241.4566650390625,241.4566650390625,256.586669921875,239.69667053222656,255.72000122070312,86098500,-0.05875856161837267,257.55999755859375,310.11122436523436,309.22229546440974,0.04584660329554411,-0.05370180832987448,TSLA
2022-05-17,253.8699951171875,253.8699951171875,254.82666015625,242.9499969482422,249.1199951171875,80236200,0.05141017778952928,252.605712890625,305.84633483886716,308.09973992241754,0.04561197245760233,-0.11579417830334426,TSLA
2022-05-18,236.60333251953125,236.60333251953125,253.5,233.60333251953125,248.17333984375,87811800,-0.06801379812405906,248.92476109095983,301.6080017089844,306.92511020236543,0.04630855971096178,-0.039475337217068196,TSLA
2022-05-19,236.47332763671875,236.47332763671875,244.6666717529297,231.3699951171875,235.6666717529297,90296700,-0.0005494634476534976,244.6095232282366,297.8708902994792,305.63362867567275,0.04604297995859955,-0.014406115147743703,TSLA
2022-05-20,221.3000030517578,221.3000030517578,240.52667236328125,211.0,237.99667358398438,144973200,-0.06416505716141863,241.27142769949776,293.5002232869466,304.1502955118815,0.04679886156898717,0.04714565841260199,TSLA
2022-05-23,224.96665954589844,224.96665954589844,226.65333557128906,212.68666076660156,218.33999633789062,88903500,0.01656871415985961,238.74285452706474,289.6047790527344,302.55281405978735,0.04703121169668294,0.0870203409454322,TSLA
2022-05-24,209.3866729736328,209.3866729736328,217.97332763671875,206.85667419433594,217.8433380126953,89092500,-0.06925464690507588,232.00809369768416,285.7406682332357,301.0587400648329,0.04772721362731776,0.1976088669846634,TSLA
2022-05-25,219.60000610351562,219.60000610351562,223.10667419433594,207.6699981689453,207.9499969482422,92139300,0.04877737911795821,228.8857138497489,282.0945571899414,299.61129574245876,0.04887400140167313,0.06713721083518531,TSLA
2022-05-26,235.91000366210938,235.91000366210938,239.55667114257812,217.8866729736328,220.47332763671875,106003200,0.07427138936829314,226.32000078473772,278.598557027181,298.4158143785265,0.05064633929047433,-0.012038473544166872,TSLA
2022-05-27,253.2100067138672,253.2100067138672,253.26666259765625,240.17666625976562,241.0833282470703,89295000,0.07333306253742577,228.6923828125,276.0944458007813,297.54166632758245,0.052661588158767085,-0.06386008846011704,TSLA
